Cars,Bikes,Buses,Trucks,Total,Density
4,0,1,0,5,LOW
3,0,1,0,4,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
3,0,1,0,4,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
5,0,1,1,7,LOW
5,0,1,1,7,LOW
5,0,1,1,7,LOW
6,0,1,1,8,LOW
4,0,1,1,6,LOW
5,0,1,1,7,LOW
5,0,1,1,7,LOW
4,0,1,1,6,LOW
5,0,1,1,7,LOW
5,0,1,1,7,LOW
5,0,1,1,7,LOW
4,0,1,1,6,LOW
5,0,1,0,6,LOW
4,0,1,1,6,LOW
5,0,1,0,6,LOW
3,0,1,0,4,LOW
3,0,1,1,5,LOW
3,0,1,0,4,LOW
3,0,1,0,4,LOW
3,0,1,0,4,LOW
3,0,1,1,5,LOW
3,0,1,1,5,LOW
3,0,1,1,5,LOW
3,0,1,1,5,LOW
3,0,1,1,5,LOW
3,0,1,0,4,LOW
3,0,1,0,4,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
5,0,1,0,6,LOW
4,0,1,0,5,LOW
5,0,1,0,6,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
5,0,1,0,6,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,1,6,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,1,6,LOW
4,0,1,1,6,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
4,0,1,0,5,LOW
4,0,1,0,5,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
5,0,1,1,7,LOW
5,0,1,0,6,LOW
5,0,1,1,7,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,2,9,LOW
6,0,1,0,7,LOW
6,0,1,1,8,LOW
6,0,1,2,9,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
7,0,1,1,9,LOW
7,0,2,1,10,LOW
6,0,2,1,9,LOW
6,0,2,1,9,LOW
7,0,2,1,10,LOW
5,0,2,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
6,0,1,1,8,LOW
5,0,1,1,7,LOW
5,0,1,0,6,LOW
6,0,1,0,7,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
5,0,1,0,6,LOW
6,0,1,0,7,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
9,0,1,1,11,LOW
6,0,1,0,7,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,1,10,LOW
8,0,1,0,9,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
8,0,1,0,9,LOW
8,0,2,0,10,LOW
7,0,2,0,9,LOW
6,0,2,0,8,LOW
7,0,2,0,9,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
6,0,1,0,7,LOW
6,0,2,0,8,LOW
6,0,1,0,7,LOW
8,0,1,0,9,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
11,0,1,1,13,LOW
10,0,1,0,11,LOW
10,0,1,2,13,LOW
9,0,1,0,10,LOW
11,0,1,0,12,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
9,0,1,0,10,LOW
7,0,1,0,8,LOW
7,0,1,1,9,LOW
8,0,1,1,10,LOW
9,0,1,1,11,LOW
9,0,1,1,11,LOW
9,0,1,1,11,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
9,0,1,0,10,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
7,0,1,1,9,LOW
8,0,2,1,11,LOW
8,0,1,1,10,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,2,0,10,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
8,0,1,0,9,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
7,0,1,0,8,LOW
